d_id,d_oficial,d_blue,d_bolsa,d_ccl,d_fecha
3,297.20,600.00,527.91,561.93,2023-08-09
4,298.16,602.00,530.31,570.51,2023-08-10
5,299.73,605.00,541.29,576.70,2023-08-11
6,299.73,605.00,541.29,576.70,2023-08-12
7,300.34,605.00,541.29,576.70,2023-08-13
8,360.64,685.00,637.36,679.37,2023-08-14
9,366.29,730.00,667.17,704.35,2023-08-15
10,367.58,780.00,651.41,732.25,2023-08-16
11,367.54,760.00,662.04,707.07,2023-08-17
12,367.68,720.00,657.48,698.80,2023-08-18
13,367.68,720.00,657.48,698.80,2023-08-19
14,367.68,720.00,657.48,698.80,2023-08-20
15,367.68,720.00,657.48,698.80,2023-08-21
16,367.46,727.00,658.88,693.04,2023-08-22
17,367.24,735.00,660.79,703.38,2023-08-23
18,367.24,735.00,660.79,703.38,2023-08-24
19,367.26,730.00,665.13,699.35,2023-08-26
20,367.26,730.00,665.13,699.35,2023-08-27
21,367.00,730.00,664.00,669.35,2023-08-25
